Topic 0	car, back, new, bike, much, used, left, around, front, side, turn, old, engine, get, power
Topic 1	space, president, nasa, stephanopoulos, also, launch, year, cost, first, years, working, earth, made, general, money
Topic 2	drive, bit, card, disk, scsi, jpeg, image, hard, mac, mhz, board, bus, apple, drives, ram
Topic 3	parts, production, problem, anyone, else, got, quality, com, hold, car, chris, firebird, second, problems, first
Topic 4	window, set, using, use, display, new, price, screen, color, application, problem, get, used, motif, sale
Topic 5	said, people, armenian, armenians, war, jews, turkish, world, years, killed, state, went, jewish, women, russian
Topic 6	game, year, team, games, last, play, first, win, season, hockey, period, players, league, new, player
Topic 7	water, new, center, theory, black, field, art, energy, science, material, light, universe, physical, research, star
Topic 8	max, bhj, giz, bxn, qax, chz, air, okz, biz, fyn, fij, nrhj, rlk, tct, wwiz
Topic 9	key, public, use, government, chip, information, encryption, system, security, new, keys, clipper, used, private, data
Topic 10	god, people, one, jesus, say, true, also, christian, fact, bible, man, israel, church, life, even
Topic 11	file, windows, software, system, dos, use, version, available, files, program, graphics, also, ftp, data, run
Topic 12	two, one, power, may, used, use, high, per, low, ground, current, level, three, also, rate
Topic 13	believe, book, must, may, religion, point, one, many, history, exist, hell, books, reason, religious, world
Topic 14	people, right, gun, law, government, state, rights, control, fire, fbi, even, case, would, police, guns
Topic 15	would, could, want, one, know, time, get, find, someone, see, tell, might, let, question, think
Topic 16	edu, mail, please, com, list, send, email, information, thanks, university, address, news, faq, internet, article
Topic 17	number, output, entry, health, section, may, research, program, page, line, disease, check, file, volume, study
Topic 18	cause, also, food, body, effect, many, day, cancer, pain, medical, doctor, problems, may, help, care
Topic 19	like, would, one, know, think, good, get, well, going, make, way, much, sure, really, time
