Topic 0	power, car, bike, front, engine, water, miles, air, gas, new, oil, road, used, small, high
Topic 1	space, president, nasa, earth, stephanopoulos, launch, cost, myers, mission, shuttle, development, orbit, moon, satellite, station
Topic 2	drive, card, disk, scsi, hard, video, price, mac, board, monitor, mhz, apple, bus, drives, computer
Topic 3	parts, else, production, problem, anyone, got, car, quality, hold, com, chris, firebird, second, free, problems
Topic 4	available, graphics, window, version, pub, sun, ftp, server, code, package, display, software, motif, based, mit
Topic 5	armenian, said, armenians, war, turkish, killed, women, men, children, turkey, russian, went, world, armenia, muslim
Topic 6	game, team, year, games, play, win, period, season, hockey, players, last, league, player, series, first
Topic 7	new, university, book, research, center, science, computer, books, national, york, conference, california, inc, fax, state
Topic 8	max, bhj, giz, output, chz, bxn, qax, int, rlk, null, char, buf, printf, stream, biz
Topic 9	key, public, chip, encryption, security, keys, use, clipper, information, private, privacy, data, algorithm, phone, used
Topic 10	people, many, fact, believe, say, true, israel, evidence, human, even, part, claim, others, agree, world
Topic 11	file, use, windows, system, program, dos, using, files, software, run, running, programs, line, set, machine
Topic 12	image, bit, data, color, jpeg, images, per, current, large, gif, value, level, size, high, used
Topic 13	god, jesus, bible, man, christ, christian, church, life, faith, christians, word, lord, love, father, sin
Topic 14	people, government, law, state, gun, rights, right, fbi, police, states, control, american, fire, guns, country
Topic 15	one, would, could, know, time, two, get, want, see, first, may, also, find, since, need
Topic 16	edu, mail, com, please, list, information, send, email, thanks, address, news, faq, name, internet, info
Topic 17	number, health, april, medical, study, page, drug, report, disease, among, cancer, age, years, care, national
Topic 18	cause, food, body, doctor, pain, effect, blood, caused, effects, causes, day, vitamin, msg, heat, eat
Topic 19	like, think, good, would, well, one, get, much, make, know, going, right, back, really, still
