Topic 0	scx, theory, chz, universe, larson, energy, uww, rlk, air, rck, physical, books, rmc, gcx, lhz
Topic 1	armenian, turkish, armenians, turkey, armenia, turks, russian, pit, genocide, greek, people, det, university, azerbaijan, bos
Topic 2	parts, production, com, car, chris, anyone, quality, got, problem, else, hold, firebird, dealer, manual, transmission
Topic 3	health, medical, disease, drug, cancer, patients, study, use, research, hiv, also, treatment, aids, drugs, number
Topic 4	one, would, people, think, say, way, even, see, know, point, believe, question, like, may, many
Topic 5	max, giz, bhj, bxn, qax, okz, biz, nrhj, fyn, col, fij, tct, chz, wwiz, rlk
Topic 6	war, world, military, american, germany, government, british, oil, first, german, muslims, russia, would, may, history
Topic 7	one, said, people, went, know, back, would, time, two, left, started, told, came, saw, like
Topic 8	key, information, encryption, chip, use, government, clipper, public, security, keys, system, technology, phone, privacy, new
Topic 9	people, gun, would, government, president, think, law, right, fbi, said, rights, going, know, guns, stephanopoulos
Topic 10	would, like, get, one, think, good, know, much, people, time, could, really, well, want, make
Topic 11	god, jesus, one, bible, christian, church, christ, would, people, christians, faith, also, lord, man, life
Topic 12	windows, dos, drive, thanks, use, system, would, know, one, card, get, anyone, like, disk, problem
Topic 13	file, window, output, program, entry, use, widget, set, display, line, application, lib, motif, open, include
Topic 14	edu, com, ftp, available, mail, graphics, list, pub, send, data, also, information, software, file, version
Topic 15	israel, jews, jewish, israeli, arab, people, peace, arabs, anti, palestinian, state, human, rights, palestinians, many
Topic 16	image, jpeg, gif, color, file, images, bit, format, files, quality, version, may, use, see, convert
Topic 17	space, power, new, sale, one, used, earth, two, launch, system, cable, shipping, offer, high, nasa
Topic 18	game, team, year, games, last, season, hockey, players, play, first, league, would, one, two, good
Topic 19	period, pts, min, van, dod, play, power, cal, shots, stl, mon, goal, first, blues, win
