Topic 0	back, car, new, much, used, get, bike, side, power, around, front, water, engine, right, turn
Topic 1	space, nasa, earth, also, cost, launch, first, time, years, energy, mission, shuttle, surface, project, science
Topic 2	drive, card, disk, system, scsi, hard, video, board, monitor, mhz, apple, mac, memory, price, bus
Topic 3	parts, problem, production, anyone, else, got, com, car, quality, hold, chris, firebird, first, second, problems
Topic 4	window, available, server, sun, package, software, using, set, version, use, graphics, based, code, application, include
Topic 5	said, people, armenian, one, went, armenians, two, came, told, children, started, first, three, took, saw
Topic 6	game, year, team, games, play, last, period, first, win, season, hockey, players, league, player, new
Topic 7	max, bhj, giz, chz, air, qax, bxn, rlk, okz, biz, fyn, fij, col, nrhj, kjz
Topic 8	government, state, israel, jews, states, american, war, rights, world, president, right, people, jewish, new, country
Topic 9	key, use, public, system, information, chip, encryption, keys, government, number, clipper, security, used, private, may
Topic 10	people, one, say, true, even, many, question, believe, point, however, see, fact, others, whether, example
Topic 11	file, windows, dos, program, use, files, image, bit, also, system, software, jpeg, data, version, run
Topic 12	one, two, used, may, per, high, use, level, current, low, large, number, usually, different, ground
Topic 13	god, jesus, life, bible, christ, believe, man, word, book, faith, christian, one, must, world, christians
Topic 14	people, gun, would, even, fbi, control, law, police, fire, bill, guns, made, think, crime, stephanopoulos
Topic 15	would, could, know, time, want, get, think, one, something, someone, find, see, really, might, tell
Topic 16	edu, mail, com, please, list, send, information, email, university, address, news, ftp, thanks, internet, faq
Topic 17	health, medical, research, study, number, drug, care, may, also, cancer, disease, cause, food, patients, new
Topic 18	also, jehovah, one, name, germany, lord, may, called, would, right, another, father, added, thou, unto
Topic 19	like, would, good, one, know, think, get, well, make, sure, going, much, way, anyone, probably
