Topic 0	scx, chz, energy, theory, universe, larson, gamma, uww, air, rlk, rck, books, rmc, star, lhz
Topic 1	armenian, turkish, armenians, turkey, people, armenia, turks, genocide, greek, russian, university, soviet, history, ottoman, muslim
Topic 2	parts, production, com, car, anyone, chris, got, problem, quality, else, hold, firebird, dealer, manual, transmission
Topic 3	health, medical, research, study, drug, cancer, disease, use, patients, april, also, space, hiv, years, number
Topic 4	one, would, people, think, say, believe, way, point, question, even, may, see, evidence, many, know
Topic 5	max, giz, bhj, qax, bxn, okz, biz, sweden, nrhj, fyn, fij, chz, rlk, finland, april
Topic 6	israel, jews, government, war, state, rights, israeli, jewish, world, people, arab, would, law, country, peace
Topic 7	car, one, said, back, went, know, people, bike, like, time, left, get, well, would, two
Topic 8	key, encryption, chip, use, government, clipper, information, keys, security, public, system, phone, privacy, technology, law
Topic 9	president, file, people, think, stephanopoulos, output, program, myers, clinton, going, said, right, entry, well, bill
Topic 10	would, like, get, one, know, people, think, good, could, much, time, want, make, really, even
Topic 11	god, jesus, one, bible, christian, church, christ, christians, would, people, lord, faith, also, man, life
Topic 12	windows, file, dos, use, program, get, window, files, using, system, version, image, software, color, display
Topic 13	loop, echo, dod, line, include, remote, dpy, test, man, lines, width, points, new, plane, sale
Topic 14	edu, com, mail, available, ftp, list, send, pub, graphics, please, data, information, software, also, image
Topic 15	mhz, bus, cpu, clock, cards, speed, isa, cache, local, vlb, fpu, chip, eisa, nubus, intel
Topic 16	game, team, year, games, last, players, good, hockey, season, one, first, would, league, baseball, two
Topic 17	drive, one, scsi, new, system, power, use, used, card, also, space, two, price, hard, would
Topic 18	gun, fbi, fire, police, guns, koresh, said, one, batf, firearms, would, weapons, news, crime, two
Topic 19	period, pit, play, pts, goal, win, det, van, bos, tor, min, chi, cal, shots, power
