Topic 0	car, bike, water, engine, front, gas, miles, oil, road, air, head, dod, back, heat, ride
Topic 1	space, president, nasa, earth, stephanopoulos, center, launch, april, myers, station, shuttle, mission, development, satellite, orbit
Topic 2	image, jpeg, images, gif, widget, format, color, display, null, scx, chz, air, tiff, convert, conversion
Topic 3	parts, else, anyone, production, got, problem, car, quality, hold, com, chris, firebird, free, second, speed
Topic 4	system, card, window, mac, use, software, memory, machine, running, disk, video, using, computer, screen, display
Topic 5	said, armenian, jews, armenians, war, turkish, went, people, killed, children, women, three, jewish, russian, city
Topic 6	game, team, year, games, play, win, period, season, hockey, players, league, last, player, goal, baseball
Topic 7	new, university, book, books, price, sale, offer, art, cover, condition, york, copies, black, appears, excellent
Topic 8	max, bhj, giz, bxn, qax, output, int, char, printf, biz, okz, eof, col, fyn, fij
Topic 9	key, chip, public, information, encryption, security, system, keys, clipper, technology, data, use, private, privacy, algorithm
Topic 10	people, believe, say, true, point, fact, question, many, evidence, israel, one, human, example, person, whether
Topic 11	file, program, windows, dos, available, files, ftp, version, graphics, software, code, pub, programs, unix, server
Topic 12	use, power, used, data, high, current, per, size, line, bit, low, control, two, output, small
Topic 13	god, jesus, christian, bible, christ, church, christians, word, faith, man, life, lord, love, son, sin
Topic 14	government, law, state, people, gun, states, rights, american, fbi, police, control, right, guns, bill, crime
Topic 15	help, need, find, problem, work, one, drive, want, hard, read, get, two, used, could, bit
Topic 16	edu, mail, please, com, list, send, information, email, address, news, article, name, info, subject, faq
Topic 17	health, medical, study, research, drug, disease, page, cancer, patients, among, number, doctor, age, treatment, food
Topic 18	may, also, must, many, time, likely, order, several, part, use, area, given, future, one, would
Topic 19	would, one, like, know, think, get, good, well, time, even, much, make, could, see, way
