Topic 0	scx, file, theory, chz, gamma, universe, air, larson, uww, rlk, energy, books, book, rck, gopher
Topic 1	armenian, turkish, armenians, turkey, armenia, turks, genocide, russian, greek, people, university, azerbaijan, soviet, government, ottoman
Topic 2	parts, production, com, anyone, car, chris, quality, got, else, problem, hold, firebird, manual, service, guide
Topic 3	health, medical, disease, cancer, drug, use, patients, research, study, hiv, also, number, aids, treatment, may
Topic 4	one, would, people, think, say, know, believe, even, like, point, see, way, may, many, question
Topic 5	max, giz, bhj, bxn, qax, okz, biz, col, nrhj, fyn, fij, tct, chz, wwiz, rlk
Topic 6	israel, jews, war, israeli, jewish, world, arab, state, would, people, peace, military, country, government, muslims
Topic 7	said, one, people, went, know, would, back, told, time, saw, came, could, two, like, started
Topic 8	key, encryption, chip, use, clipper, government, system, keys, security, information, public, privacy, phone, technology, data
Topic 9	people, gun, government, president, would, think, law, right, stephanopoulos, going, said, know, guns, well, state
Topic 10	would, like, get, one, think, know, good, much, time, could, really, well, people, want, make
Topic 11	god, jesus, one, bible, christian, christ, church, christians, would, people, lord, also, faith, man, love
Topic 12	windows, dos, file, use, version, system, software, files, program, get, using, color, also, like, server
Topic 13	file, window, entry, program, line, widget, set, null, int, build, size, use, value, display, return
Topic 14	edu, com, mail, ftp, send, list, available, pub, graphics, data, image, information, please, also, email
Topic 15	drive, card, scsi, thanks, disk, mhz, hard, bit, one, monitor, drives, know, mac, apple, please
Topic 16	jpeg, game, year, good, games, gif, better, image, last, first, would, team, hit, one, runs
Topic 17	space, new, power, sale, used, one, cable, use, system, launch, shipping, two, offer, price, earth
Topic 18	team, hockey, year, new, games, game, last, san, season, league, one, two, players, april, nhl
Topic 19	period, play, game, pit, win, goal, pts, det, van, bos, tor, first, chi, min, cal
